ID,Title,Pack,Artist,Image,Level,Chart Constant,Background,Chart Design,Side,Artwork,Length,Vocals,Genre,Difficulty,Notes_Touch,Notes_Joycon,Version_Mobile,Version_Switch,Added_Mobile,Added_Switch,BPM_Min,BPM_Max
ringedgenesis,Ringed Genesis,Adverse Prelude,Edelritter,https://static.wikia.nocookie.net/iowiro/images/b/ba/Ringed_Genesis.jpg/revision/latest?cb=20230928074540,5,5.5,ringedgenesis,夜浪 vs Nitro,Light,シエラ (cierra),2:13,Choral,Symphonic Hardstyle,0,672,672,2.2.0,1.0.0c,2019-07-18,2021-05-18,160,160
ringedgenesis,Ringed Genesis,Adverse Prelude,Edelritter,https://static.wikia.nocookie.net/iowiro/images/b/ba/Ringed_Genesis.jpg/revision/latest?cb=20230928074540,8,8.4,ringedgenesis,夜浪 vs Nitro,Light,シエラ (cierra),2:13,Choral,Symphonic Hardstyle,1,860,860,2.2.0,1.0.0c,2019-07-18,2021-05-18,160,160
ringedgenesis,Ringed Genesis,Adverse Prelude,Edelritter,https://static.wikia.nocookie.net/iowiro/images/b/ba/Ringed_Genesis.jpg/revision/latest?cb=20230928074540,10+,10.8,ringedgenesis,夜浪 vs Nitro,Light,シエラ (cierra),2:13,Choral,Symphonic Hardstyle,2,1146,1146,2.2.0,1.0.0c,2019-07-18,2021-05-18,160,160
heartjackin,Heart Jackin',The Journey Onwards,Yu_Asahina,https://static.wikia.nocookie.net/iowiro/images/d/dd/Heart_Jackin%27.jpg/revision/latest?cb=20230928064110,3,3.0,alice_light,TaroNuke + Nitro,Light,mins,2:37,Vocal samples,Fusion Pop,0,506,506,3.3.1,1.2.0,2020-12-09,2021-09-16,160,160
heartjackin,Heart Jackin',The Journey Onwards,Yu_Asahina,https://static.wikia.nocookie.net/iowiro/images/d/dd/Heart_Jackin%27.jpg/revision/latest?cb=20230928064110,5,5.5,alice_light,TaroNuke + Nitro,Light,mins,2:37,Vocal samples,Fusion Pop,1,543,543,3.3.1,1.2.0,2020-12-09,2021-09-16,160,160
heartjackin,Heart Jackin',The Journey Onwards,Yu_Asahina,https://static.wikia.nocookie.net/iowiro/images/d/dd/Heart_Jackin%27.jpg/revision/latest?cb=20230928064110,9+,9.7,alice_light,TaroNuke + Nitro,Light,mins,2:37,Vocal samples,Fusion Pop,2,1112,1112,3.3.1,1.2.0,2020-12-09,2021-09-16,160,160
riseoftheworld,Rise of the World,Lasting Eden,cosMo@暴走P,https://static.wikia.nocookie.net/iowiro/images/c/c4/Rise_of_the_world.jpg/revision/latest?cb=20230927031941,4,4.5,eden_light,N⇑TRO,Light,Asgard,2:20,None,Artcore,0,722,,4.7.0,,2023-08-18,,182,212
riseoftheworld,Rise of the World,Lasting Eden,cosMo@暴走P,https://static.wikia.nocookie.net/iowiro/images/c/c4/Rise_of_the_world.jpg/revision/latest?cb=20230927031941,7,7.5,eden_light,N⇑TRO,Light,Asgard,2:20,None,Artcore,1,843,,4.7.0,,2023-08-18,,182,212
riseoftheworld,Rise of the World,Lasting Eden,cosMo@暴走P,https://static.wikia.nocookie.net/iowiro/images/c/c4/Rise_of_the_world.jpg/revision/latest?cb=20230927031941,10,10.4,eden_light,N⇑TRO,Light,Asgard,2:20,None,Artcore,2,1176,,4.7.0,,2023-08-18,,182,212
nexttoyou,next to you,Binary Enfold,uma feat. 橘花音,https://static.wikia.nocookie.net/iowiro/images/4/4f/Next_to_you.jpg/revision/latest?cb=20230928072409,4,4.5,nijuusei-light-b,Nitro,Light,mins,2:12,橘花音 (Kanon Tachibana),Eurobeat,0,454,454,1.6.0,1.0.0c,2018-03-23,2021-05-18,165,165
